cluster_number,cluster_size,num_in_clus1,prop_in_clus1,clus1_size,num_in_clus3,prop_in_clus3,clus3_size,num_in_clus4,prop_in_clus4,clus4_size,total_phos_sites,pclus1,padj.clus1,pclus3,padj.clus3,pclus4,padj.clus4
1,220,32,0.14545454545454545,1113,48,0.21818181818181817,1281,55,0.25,861,4097,3.5302463464899703e-6,3.5302463464899703e-6,9.133021039184442e-4,9.133021039184442e-4,0.9402546041415573,0.9402546041415573
2,279,62,0.2222222222222222,1113,65,0.23297491039426524,1281,88,0.3154121863799283,861,4097,0.03015907869215177,0.03015907869215177,0.0014810180163955604,0.0014810180163955604,0.9999931044056364,0.9999931044056364
3,337,61,0.18100890207715134,1113,84,0.24925816023738873,1281,80,0.23738872403560832,861,4097,3.458611449157299e-5,3.458611449157299e-5,0.004653038905663697,0.004653038905663697,0.9102518692402023,0.9102518692402023
4,96,23,0.23958333333333334,1113,21,0.21875,1281,42,0.4375,861,4097,0.27837944159308514,0.27837944159308514,0.02620870937723608,0.02620870937723608,0.999999895622793,0.999999895622793
5,181,25,0.13812154696132597,1113,43,0.23756906077348067,1281,57,0.3149171270718232,861,4097,8.664737984400774e-6,8.664737984400774e-6,0.014371298279028574,0.014371298279028574,0.9997420453274393,0.9997420453274393
6,225,50,0.2222222222222222,1113,46,0.20444444444444446,1281,97,0.4311111111111111,861,4097,0.04869616284659544,0.04869616284659544,1.322338405608892e-4,1.322338405608892e-4,0.9999999999999964,0.9999999999999964
7,290,55,0.1896551724137931,1113,67,0.23103448275862068,1281,75,0.25862068965517243,861,4097,5.057637187784613e-4,5.057637187784613e-4,9.200869984396549e-4,9.200869984396549e-4,0.9836321022211942,0.9836321022211942
8,1937,361,0.18637067630356222,1113,461,0.23799690242643262,1281,495,0.2555498193082086,861,4097,6.702789613542849e-32,6.702789613542849e-32,6.636362635138835e-23,6.636362635138835e-23,0.9999999999945044,0.9999999999945044
9,109,24,0.22018348623853212,1113,19,0.1743119266055046,1281,52,0.47706422018348627,861,4097,0.13132170302763144,0.13132170302763144,7.008250845331343e-4,7.008250845331343e-4,0.99999999992477,0.99999999992477
